50
1 2 4 1
3 6 10 2
1 7 11 4
3 2 17 5
0 3 6 4
1 0 5 3
2 4 16 2
994370610 602840167 66215 63918
41893144 781277736 30732 30403
972879635 364735174 70095 13729
936352921 634828990 84659 5733
622118273 687944605 94591 28356
691358868 397043261 43883 15274
504623069 693424043 5899 895
905038898 755051701 34470 22754
442046401 328810207 61133 11785
275958951 79183772 63752 12271
124521267 90423287 35464 3151
403904337 95764815 58225 20339
706147989 50161071 83416 43810
691563536 514456830 93983 48252
299520727 534259883 79998 33213
674602543 838905062 22532 19697
426415906 526773609 96779 42995
658061564 143838845 76948 3990
478980129 675742334 79739 16419
776759830 601491063 60297 57581
899986098 34011142 25146 21729
298839008 716186615 1798 675
351220483 264493881 6589 2652
934292212 564294222 26643 1424
443699042 260122343 40500 27495
212730071 392461192 64244 43024
355873358 777564124 82150 21200
683082885 260658875 59659 7323
253199257 611854865 93935 89589
17975575 682115285 5846 2147
254680421 171444227 53030 33705
35311223 851961128 80318 44750
265177179 478325631 76832 22134
245446216 624385792 53919 5610
393904886 160075903 82599 77645
473994342 178804363 28608 14799
913203431 373045244 50692 23601
566915984 366540323 90761 54729
807760856 141671553 75113 498
337408719 29297988 3911 2983
662491393 57092322 62458 47070
329477909 835002901 73982 65402
450471324 731169341 85974 20945
