102
1 1
6 3
56 21
66 99
2 1000000000000000000
1346269 832040
9227465 102334155
679891637638612258 420196140727489673
1234512345 2469024690
855240632128159554 228234992924138818
979665280195264531 814022403793709869
77774009540676072 934537822991395373
224092340451076439 403028751750806234
440227725534861762 241672093666325194
312943788297207942 519157544502207920
910392522714993286 627575067119778698
339032948806593694 531427860771239196
507840313680623281 291220538032753619
811415145274656324 289316263890014124
315306093704972539 161066856635847015
151549964238450510 891170000858060721
611117937609810463 320609555275896719
438194761287107769 384813213573531717
418046447135902251 955370171375521170
162326593006948766 603315367147543694
363051597609535152 578331736115848415
750308924545878624 529207726896420786
421780948702950688 765584117826259176
753887366052252292 384654747715716838
836610669623378634 440497895758995281
11387303415453501 719325325720303578
186058526415933514 863885333194205945
313151282339436841 707010156294684523
893059956038234828 563747481561460369
391597367542790324 924666250436562435
630088138095971444 336348019277492717
602861836821290607 575671434159363060
534970050630712760 521277690781288283
891980930561718537 793419744383777125
915999204083834888 208365063049957360
860908310161861343 955396471558300122
159151204786438477 913932060272279877
868633743412814962 818458816190441049
91780160881570185 938686799438530968
858106212744047700 505351184532701476
866389287842973738 25200360848370571
188576067461771769 938361761057881987
680111917033894720 251813896985089455
692423097832232866 3485179473282200
184576810048710827 301208247501803382
890919796594978057 65628863335009129
296582166628037265 554887203204870789
742316605010034051 457459883248926916
261780212409052990 917665792641744697
623499188848847832 110137254019275459
54235477836847184 620444826681488590
575398252707977084 704932046987203584
729072983098219482 320011425085877603
370634093350046058 925344629731549283
782886193493589002 672766416366974093
186057759410111504 616673891272356636
501988116754717855 110218441606889695
844127318046304820 350381383109310824
576978008761117303 581715568034128654
209958548991251699 317388239585394081
257471083774110588 444787753306817074
883854062209504928 697439068844173360
519434231954014537 791669834822960070
960654648059008425 466159745789403255
601014300181010084 463161073375002620
434134465653894298 507349360648673427
37800187024773516 93039518613621813
844042570833679250 678764974923061280
783215453304118354 622379229156862334
306454885820924988 166499562035433588
666856667127800475 328028230248651431
487618518813643385 110629173573071132
844210161290741264 836772129896727598
280520118698298158 239858564787965146
434713113241820632 524754238630553232
371825351891568198 686224605556105893
144005426316484033 420928327505100635
768646562531097356 757351727967754830
345113175022265240 878428347907218416
28519836713460087 483596300513690661
530484395586430342 5399985541666782
822351161323992583 178646744105092295
239161247144362518 718829220748325464
229308613083816537 518466568754121906
943450269424830804 498697548271376532
372517166164078846 155337013399189539
377896592077922589 101554837041070567
654650536802768072 506970374790923948
731843280213737692 52475317262280185
208702022470947381 716231474944839981
660016054528186468 434031861160731650
731874491069856040 41300315958452599
167648168131191719 963253177811255165
207131510935450093 735153923469326535
721278470056057738 456858670507914836
379337005074796552 934502838920496147
553371738248667970 963139172353727695
